feature,shap_mean,shap_std
PM2.5_rolling_mean_3h,4.935485826470429,3.724822458300155
PM2.5_lag_2h,0.5983880442742436,0.4230377900804307
PM2.5_rolling_mean_24h,0.5382810671849055,0.40092566370575083
PM10,0.5333819944522773,0.4040843484816612
PM2.5_lag_1h,0.5037987104906116,0.43319272892209154
NO2,0.385392284327882,0.47427460513663355
PM2.5_rolling_mean_6h,0.28966761820354525,0.2893305774790318
wind_v,0.2019110665378284,0.15667355094338625
temperature_2m,0.16108070378155734,0.18909220152064263
NO2_lag_1h,0.15787067020720413,0.2063942841876364
wind_u,0.12817088440804772,0.12009017219730114
relative_humidity_2m,0.12111722378591212,0.12212360329351934
surface_pressure,0.12041813594818711,0.11267076401009218
PM10_rolling_mean_24h,0.11295920588771806,0.09009952672713638
PM2.5_rolling_std_3h,0.11186905776646251,0.15303579598226974
dew_point_2m,0.10174282882786696,0.10883352205657036
Longitude,0.10113601726583615,0.09287524691631095
PM10_lag_1h,0.09989807625750201,0.11390614014006441
PM10_rolling_mean_6h,0.09895568614005207,0.07139002590325122
NO2_rolling_mean_12h,0.09803317037321722,0.08058665703313969
year,0.09593231892022204,0.06332134566085833
Latitude,0.0842990588562648,0.09353968046015106
hour_cos,0.08119580133585838,0.07462121637309396
month_sin,0.078396170998502,0.06401274747921758
PM2.5_rolling_mean_12h,0.07832282428879747,0.09498510054300194
PM10_lag_2h,0.07530357809034205,0.09507240283730578
NO2_lag_2h,0.06657627413427983,0.059596804750619764
PM2.5_lag_3h,0.061921055720836185,0.07980264511927036
PM10_rolling_mean_3h,0.06127972230954906,0.0723626995893417
hour_sin,0.06026795808270937,0.06400081281905788
PM10_lag_3h,0.059011614801224695,0.056326009598579044
PM2.5_rolling_std_24h,0.0571123305100498,0.07649032050933385
PM2.5_lag_24h,0.056189807894831544,0.06191512559083185
PM2.5_lag_168h,0.05362352952779693,0.05593994861201601
PM10_lag_6h,0.05315567783394929,0.056700810586959735
month,0.05272535638470643,0.05070695286986318
NO2_lag_3h,0.05256208541417091,0.07285723166943187
Altitude,0.05232309300749699,0.06540055646957021
PM10_lag_24h,0.05162720137780441,0.06277487893583707
PM2.5_lag_12h,0.049271459524072254,0.052712755794345804
precipitation,0.048308063271380056,0.08033147131353513
PM10_rolling_mean_12h,0.045755141828986295,0.05147506908757578
hour,0.04410781869873169,0.04310267257299869
PM10_rolling_std_24h,0.044034251493714836,0.04798112199755565
NO2_rolling_mean_3h,0.043623142559059025,0.10156462444925009
NO2_rolling_mean_24h,0.042776647934367876,0.04712920809108824
PM10_rolling_std_3h,0.04076259014681898,0.04836601886863317
day_of_month,0.03966572615527931,0.04849890332764637
PM10_lag_168h,0.03868176366255378,0.0458024537707864
NO2_rolling_mean_6h,0.03772496859543409,0.0380732972987267
PM2.5_lag_6h,0.03685786768523958,0.0494954673974863
NO2_lag_6h,0.03664734358354793,0.046248152186103814
PM2.5_rolling_std_6h,0.034571723267991364,0.06022266497598554
month_cos,0.03396543366534912,0.0318068746022829
PM10_lag_12h,0.0328571055879967,0.03960913443274736
day_of_week,0.03243683746431313,0.03540669378611519
PM10_rolling_std_12h,0.03236869500854395,0.03627796729768136
NO2_lag_12h,0.030770995004408656,0.051815010416779064
NO2_rolling_std_6h,0.03061057667809595,0.0355172250466972
NO2_rolling_std_3h,0.030219345228905268,0.04338630310855989
PM2.5_rolling_std_12h,0.029522937090222093,0.03620254334553208
NO2_rolling_std_24h,0.0292291322854008,0.03557551655618867
NO2_lag_24h,0.028796848836561702,0.03517810424301315
NO2_rolling_std_12h,0.028218000988644548,0.034196288136086626
PM10_rolling_std_6h,0.027426788163462487,0.03382006371287462
NO2_lag_168h,0.025292160092349875,0.03196134759667443
StationType_background,0.01669414157045173,0.013195339937423698
StationType_traffic,0.014693355925529571,0.010182551981741958
StationArea_urban,0.008525752673058917,0.008209494528634259
is_weekend,0.002533597193594454,0.0031804157096500685
StationArea_suburban,0.0023196946723269907,0.004553209836036018
StationType_industrial,0.001646114669694342,0.0049903939881283865
StationArea_rural-nearcity,0.001610724232990502,0.006366707524009735
StationArea_rural,0.0003564599160003264,0.0015290260034738026
