group,n_features,importance_mean,importance_std
PM2.5 History,15,3.8084982387100603,2.519715665129165
Meteorological,7,2.94839965397953,1.3174090047703635
Temporal,10,2.3110909162755133,0.8494330516574189
Other Pollutants,32,1.7905998523077378,0.7634640623625941
Metadata,10,1.176716135500046,0.7503725659069627
