horizon,group,importance_mean,share_pct,n
1,PM2.5 History,7.325468717337878,63.29589619524134,3000
1,Other Pollutants,2.5406039957908972,21.95215255102957,3000
1,Meteorological,0.8943485507756829,7.727641085720734,3000
1,Temporal,0.5251285616515492,4.537386508631754,3000
1,Metadata,0.287820894627611,2.4869236593766053,3000
3,PM2.5 History,5.012808514763363,46.94503867802171,3000
3,Other Pollutants,2.11979582090215,19.85192462642031,3000
3,Meteorological,1.6905681740656442,15.83220026969067,3000
3,Temporal,1.348164332142729,12.62558235176422,3000
3,Metadata,0.5066999771909003,4.745254074103095,3000
6,PM2.5 History,4.605482719212526,37.70996142108924,3000
6,Meteorological,2.4454053015234645,20.02312139717346,3000
6,Temporal,2.2326468036319214,18.281042393374516,3000
6,Other Pollutants,2.0944959399059937,17.149855054496463,3000
6,Metadata,0.8348767690573744,6.836019733866335,3000
12,PM2.5 History,3.858400687106743,31.893529949247274,3000
12,Meteorological,2.9481593952419347,24.369477820565738,3000
12,Temporal,2.3029711308537215,19.03635332109898,3000
12,Other Pollutants,1.8157786039318355,15.009221172705091,3000
12,Metadata,1.1724438440211244,9.691417736382919,3000
24,PM2.5 History,4.017397955264215,29.09967854208539,3000
24,Meteorological,3.581205454686576,25.940155465053582,3000
24,Temporal,2.54616648737797,18.442939216475192,3000
24,Metadata,2.050132064690837,14.849956294011601,3000
24,Other Pollutants,1.6107417994881312,11.667270482374233,3000
