group,n_features,importance_mean,importance_std
PM2.5 History,15,7.434883859900035,4.912530767744369
Other Pollutants,32,2.531802739286027,1.4533529302958452
Meteorological,7,0.8827489065607788,0.41769308029825686
Temporal,10,0.5212270188992657,0.24176348204793563
Metadata,10,0.28360441278964993,0.187562185131569
