horizon,season,group,importance_mean,share_pct,n
1,Autumn,PM2.5 History,7.387608488706193,63.43859595493485,742
1,Autumn,Other Pollutants,2.5578466611422206,21.96464540574192,742
1,Autumn,Meteorological,0.8791062724329071,7.549028579895285,742
1,Autumn,Temporal,0.5276991734291976,4.531438651642835,742
1,Autumn,Metadata,0.29302943238871737,2.516291407785111,742
1,Spring,PM2.5 History,7.147566706309755,63.77259460881719,782
1,Spring,Other Pollutants,2.4510536041965327,21.868987627204344,782
1,Spring,Meteorological,0.801168135551833,7.148246784034244,782
1,Spring,Temporal,0.5230771558869781,4.6670410759602206,782
1,Spring,Metadata,0.285031379749187,2.543129903983995,782
1,Summer,PM2.5 History,6.017302323489451,60.23863853132041,740
1,Summer,Other Pollutants,2.3300673737776147,23.32608181156129,740
1,Summer,Meteorological,0.8561068492926499,8.5704038564613,740
1,Summer,Temporal,0.5270686142744663,5.276433529447737,740
1,Summer,Metadata,0.2585622795021771,2.5884422712092747,740
1,Winter,PM2.5 History,8.767119252278828,65.02806629892514,736
1,Winter,Other Pollutants,2.8300488990870116,20.991228948003062,736
1,Winter,Meteorological,1.0471688148148603,7.76713093052175,736
1,Winter,Temporal,0.5227660160373112,3.877495237773011,736
1,Winter,Metadata,0.3149513848572411,2.3360785847770282,736
3,Autumn,PM2.5 History,5.061272234494616,46.76235319051695,692
3,Autumn,Other Pollutants,2.191287866967652,20.24585369640125,692
3,Autumn,Meteorological,1.6705285391308795,15.434428725108244,692
3,Autumn,Temporal,1.3744443875510768,12.698833596293401,692
3,Autumn,Metadata,0.5258577748682394,4.858530791680162,692
3,Spring,PM2.5 History,4.969969571203162,47.8407100529286,767
3,Spring,Other Pollutants,2.044143874880733,19.67683967146798,767
3,Spring,Meteorological,1.5641183300643668,15.056134739868293,767
3,Spring,Temporal,1.3334125494140256,12.835370970291411,767
3,Spring,Metadata,0.4769338659081858,4.590944565443727,767
3,Summer,PM2.5 History,4.275044794419217,45.2487193552355,794
3,Summer,Other Pollutants,1.888720433548459,19.990943942785833,794
3,Summer,Meteorological,1.5437711715125,16.339868199664597,794
3,Summer,Temporal,1.2872701548987942,13.62496272540209,794
3,Summer,Metadata,0.45307364054321625,4.7955057769119795,794
3,Winter,PM2.5 History,5.796081566449975,47.71164174528025,747
3,Winter,Other Pollutants,2.3768592804469026,19.56560775887866,747
3,Winter,Meteorological,1.995000942139318,16.422262030233494,747
3,Winter,Temporal,1.403691501810766,11.554776323879343,747
3,Winter,Metadata,0.5765162056505853,4.745712141728266,747
6,Autumn,PM2.5 History,4.7816668717839566,38.42000421997166,735
6,Autumn,Meteorological,2.469999599279293,19.846090824021413,735
6,Autumn,Temporal,2.209276114435712,17.75121519664444,735
6,Autumn,Other Pollutants,2.126748700904579,17.08811932209922,735
6,Autumn,Metadata,0.8580826505455039,6.894570437263254,735
6,Spring,PM2.5 History,4.344700392185065,37.94296411865773,743
6,Spring,Meteorological,2.20771377711054,19.280317874126823,743
6,Spring,Temporal,2.062079266375355,18.00846837555085,743
6,Spring,Other Pollutants,2.036371024760821,17.783954185599203,743
6,Spring,Metadata,0.7997443496707535,6.9842954460653885,743
6,Summer,PM2.5 History,3.8312250129059726,35.55259670192065,781
6,Summer,Temporal,2.192070988479902,20.341748535488378,781
6,Summer,Meteorological,2.1657392905304,20.097398429576597,781
6,Summer,Other Pollutants,1.8832162297443698,17.47567080844184,781
6,Summer,Metadata,0.7039655997711598,6.5325855245725215,781
6,Winter,PM2.5 History,5.508264346023349,38.6259510127161,741
6,Winter,Meteorological,2.9541059066163817,20.7152639865073,741
6,Winter,Temporal,2.4696223075112322,17.317888953297416,741
6,Winter,Other Pollutants,2.3434709550951056,16.433269833278054,741
6,Winter,Metadata,0.985063932246332,6.9076262142011275,741
12,Autumn,PM2.5 History,3.7858559686722666,31.39980153487745,745
12,Autumn,Meteorological,3.0058792917478887,24.930693079637418,745
12,Autumn,Temporal,2.239034724407884,18.570502036495398,745
12,Autumn,Other Pollutants,1.792936923980536,14.870577233630641,745
12,Autumn,Metadata,1.2332354399101346,10.228426115359094,745
12,Spring,PM2.5 History,3.798385512366707,32.988481272117255,761
12,Spring,Meteorological,2.7026150304981202,23.47185798520457,761
12,Spring,Temporal,2.2185850910695812,19.26812128180887,761
12,Spring,Other Pollutants,1.7237793849227072,14.970798454144543,761
12,Spring,Metadata,1.0709131955122249,9.30074100672476,761
12,Summer,PM2.5 History,3.1248572172077496,30.11590247933299,745
12,Summer,Meteorological,2.5152547431743066,24.24084087394037,745
12,Summer,Temporal,2.2013482153663038,21.215557565943598,745
12,Summer,Other Pollutants,1.5574563507015227,15.01003095925665,745
12,Summer,Metadata,0.9771869934502091,9.417668121526395,745
12,Winter,PM2.5 History,4.721160698168962,32.686810111350276,749
12,Winter,Meteorological,3.570818813751268,24.722453644162652,749
12,Winter,Temporal,2.553384309913809,17.678277316809705,749
12,Winter,Other Pollutants,2.188914165862742,15.154879544208118,749
12,Winter,Metadata,1.4093483009681091,9.757579383469242,749
24,Autumn,PM2.5 History,3.9322974356834077,28.747854135051224,775
24,Autumn,Meteorological,3.6742453436374922,26.861312228515224,775
24,Autumn,Temporal,2.334779031055349,17.068873380044916,775
24,Autumn,Metadata,2.150104725531717,15.718774593134972,775
24,Autumn,Other Pollutants,1.5871507144506916,11.603185663253653,775
24,Spring,PM2.5 History,3.998083317329436,30.739384832667895,724
24,Spring,Meteorological,3.223886765968705,24.786951168954705,724
24,Spring,Temporal,2.3921318387474937,18.391978186901223,724
24,Spring,Metadata,1.8389505060470683,14.138826734448555,724
24,Spring,Other Pollutants,1.5533344566588856,11.942859077027624,724
24,Summer,PM2.5 History,3.38063208644377,28.235255100282856,790
24,Summer,Meteorological,2.9953635606402185,25.017467766430634,790
24,Summer,Temporal,2.4326140287720763,20.317347734565097,790
24,Summer,Metadata,1.7348542896644648,14.489613828999824,790
24,Summer,Other Pollutants,1.4296245524929068,11.940315569721596,790
24,Winter,PM2.5 History,4.8373441393824415,28.80367447701324,711
24,Winter,Meteorological,4.494578046798252,26.762694412730855,711
24,Winter,Temporal,3.0596022209323324,18.21821724102773,711
24,Winter,Metadata,2.506511922042792,14.924874351505276,711
24,Winter,Other Pollutants,1.8961547843525708,11.290539517722891,711
