Protocol,horizon,model1,model2,DM_stat,p_value,model1_rmse,model2_rmse,n_samples,winner
A,1,xgb,lgb,1.6956493698747892,0.09026704117137041,2.4348483211893277,2.454176756271925,990,tie
A,12,lgb,xgb,-1.9524505523055828,0.051171785651936474,5.257878341375917,5.379361888948854,972,tie
A,24,xgb,lgb,-0.9202432960379784,0.35767633054036896,5.926880987788451,6.058940353661564,963,tie
B,1,lstm_attention,lgb_dl,-2.5454208941699488,0.01106394659797827,2.1803590669997126,2.231119091136605,1000,lstm_attention
B,3,lstm_residual,lgb_dl,-2.0647556644908156,0.039203736884934726,3.48258220519604,3.6393579725875713,1000,lstm_residual
B,6,lstm_residual,lgb_dl,0.4797384308943504,0.6315184082826697,4.442344282531229,4.424418765758381,1000,tie
B,12,lstm_residual,lgb_dl,2.9391051034520697,0.0033673493619887918,5.391340100137375,5.365514502834463,1000,lgb_dl
B,24,lstm_residual,xgb_dl,4.018290401362123,6.30236029568465e-05,6.180554296703112,6.0479483033852,1000,xgb_dl
