Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.4924430847167969,2.4974765439693325,0.885941207408905,-0.06831517815589905,606635.0
Global,All,3,2.479881525039673,3.848257259929309,0.7293347120285034,-0.2186771184206009,601349.0
Global,All,6,3.1750762462615967,4.775456128129485,0.5827986001968384,-0.41207027435302734,599587.0
Global,All,12,3.7209837436676025,5.52603006556447,0.4410601854324341,-0.6083825826644897,597887.0
Global,All,24,4.093210220336914,6.029260178662217,0.3359559178352356,-0.47706279158592224,592961.0
Country,AT,1,1.0282831192016602,1.7155385619243133,0.9475741982460022,-0.0743747428059578,166029.0
Country,BE,1,1.3875993490219116,2.580389981478081,0.8977606892585754,-0.0972512736916542,126057.0
Country,ES,1,2.2717478275299072,3.35646576995875,0.7880369424819946,-0.01311583537608385,142308.0
Country,FI,1,0.9274972677230835,1.5581007251768908,0.851259171962738,-0.09416170418262482,79889.0
Country,FR,1,1.7578636407852173,2.6706238432885505,0.871795654296875,-0.080624520778656,92352.0
Country,AT,3,2.0221729278564453,3.1349708180993443,0.8245276212692261,-0.2357359677553177,165990.0
Country,BE,3,2.6144678592681885,4.193119434870986,0.7304967641830444,-0.28168144822120667,125452.0
Country,ES,3,3.237898826599121,4.757091649261412,0.5733940601348877,-0.12840180099010468,139872.0
Country,FI,3,1.6694073677062988,2.5233505753701175,0.6116035580635071,-0.28306645154953003,79028.0
Country,FR,3,2.6679494380950928,3.9219678890580854,0.7244670391082764,-0.18354623019695282,91007.0
Country,AT,6,2.7859010696411133,4.156012965735586,0.6909104585647583,-0.43414634466171265,165969.0
Country,BE,6,3.499854326248169,5.371069602218444,0.5576510429382324,-0.4956468939781189,125296.0
Country,ES,6,3.78775691986084,5.515551688163631,0.4259544014930725,-0.32190027832984924,138989.0
Country,FI,6,2.210479497909546,3.2161798678719578,0.370016872882843,-0.5317940711975098,78684.0
Country,FR,6,3.336576461791992,4.870295088207266,0.5746859312057495,-0.29046371579170227,90649.0
Country,AT,12,3.458753824234009,5.097573185386463,0.534295916557312,-0.5967314839363098,165918.0
Country,BE,12,4.183364391326904,6.347631610529102,0.38221293687820435,-0.7033297419548035,125090.0
Country,ES,12,4.1285400390625,5.989167289105768,0.3239784836769104,-0.5506153106689453,138381.0
Country,FI,12,2.6886634826660156,3.802842337041212,0.11750167608261108,-0.7565637230873108,78314.0
Country,FR,12,3.8331644535064697,5.5817712145301535,0.4396735429763794,-0.45808345079421997,90184.0
Country,AT,24,4.046861171722412,5.858997058123482,0.3839777708053589,-0.4517129361629486,165770.0
Country,BE,24,4.595578670501709,6.938833847350202,0.2628268599510193,-0.4957714080810547,124381.0
Country,ES,24,4.356408596038818,6.28776705650621,0.2592170834541321,-0.4661450982093811,136672.0
Country,FI,24,2.939178943634033,4.113598875586743,-0.026743292808532715,-0.7300512790679932,77364.0
Country,FR,24,4.076381206512451,5.969600277399135,0.36049884557724,-0.2945225238800049,88774.0
StationArea,rural,1,0.6441085934638977,1.0740769171281312,0.8984352350234985,-0.1203044056892395,16874.0
StationArea,rural-nearcity,1,0.9321619868278503,1.5082935099675006,0.954445481300354,-0.05197181925177574,17492.0
StationArea,suburban,1,1.2901408672332764,2.314652446421144,0.9060126543045044,-0.10590354353189468,143569.0
StationArea,urban,1,1.6164450645446777,2.6256041058728496,0.8739460706710815,-0.05434756726026535,428700.0
StationArea,rural,3,1.3354415893554688,1.974771042119244,0.6564131379127502,-0.3230447769165039,16789.0
StationArea,rural-nearcity,3,1.8566930294036865,2.8792817118101444,0.833795428276062,-0.18638768792152405,17488.0
StationArea,suburban,3,2.323154926300049,3.703628956429007,0.7595464587211609,-0.31020620465278625,142854.0
StationArea,urban,3,2.6036412715911865,3.9846413916001677,0.7098004221916199,-0.1850556880235672,424218.0
StationArea,rural,6,1.8231929540634155,2.602098656011892,0.4042373299598694,-0.5575852990150452,16751.0
StationArea,rural-nearcity,6,2.567326784133911,3.8509335265463758,0.7014263272285461,-0.366657555103302,17486.0
StationArea,suburban,6,3.0670435428619385,4.6956673232585135,0.6127266883850098,-0.5467550754547119,142655.0
StationArea,urban,6,3.2902510166168213,4.901566718175385,0.5606640577316284,-0.3627275228500366,422695.0
StationArea,rural,12,2.286259412765503,3.170762040635494,0.11743628978729248,-0.7453156113624573,16677.0
StationArea,rural-nearcity,12,3.1831796169281006,4.742653234697836,0.5452508926391602,-0.49218717217445374,17481.0
StationArea,suburban,12,3.6750307083129883,5.555554972754554,0.45771676301956177,-0.7598960995674133,142476.0
StationArea,urban,12,3.815643787384033,5.618814925008566,0.4224322438240051,-0.5565385222434998,421253.0
StationArea,rural,24,2.5672354698181152,3.508843964832785,-0.07969701290130615,-0.7606934905052185,16542.0
StationArea,rural-nearcity,24,3.746527671813965,5.4546354546491225,0.39792126417160034,-0.3331606388092041,17466.0
StationArea,suburban,24,4.104803562164307,6.152007989349932,0.33721327781677246,-0.6195324063301086,141813.0
StationArea,urban,24,4.164296627044678,6.088782843867516,0.3229352831840515,-0.4234057664871216,417140.0
