horizon,country,group,importance_mean,share_pct,n
1,AT,PM2.5 History,7.583987415524425,67.07667471988741,803
1,AT,Other Pollutants,2.2174482893526326,19.612250055769923,803
1,AT,Meteorological,0.8102574293358173,7.166332306364009,803
1,AT,Temporal,0.49231507715124884,4.35428706305245,803
1,AT,Metadata,0.20243690863504502,1.7904558549262202,803
1,BE,PM2.5 History,7.18951278734422,67.27649110360817,615
1,BE,Other Pollutants,1.8820661289138152,17.61159746473517,615
1,BE,Meteorological,0.8637800875050501,8.082897282664653,615
1,BE,Temporal,0.5124882890386486,4.795653730375826,615
1,BE,Metadata,0.2386684118775092,2.23336041861619,615
1,ES,PM2.5 History,7.21788727567778,56.52783991899296,737
1,ES,Other Pollutants,3.423262592474992,26.809734266725865,737
1,ES,Meteorological,1.1288083771386181,8.840412270932589,737
1,ES,Temporal,0.5957100295669034,4.6653819744413205,737
1,ES,Metadata,0.4030617633341267,3.1566315689072653,737
1,FI,PM2.5 History,7.886043623073045,66.13214936378257,405
1,FI,Other Pollutants,2.621879548195761,21.98701125464505,405
1,FI,Meteorological,0.6619190975427739,5.550835719113221,405
1,FI,Temporal,0.3971074274154181,3.3301321877636574,405
1,FI,Metadata,0.3577249120231535,2.999871474695499,405
1,FR,PM2.5 History,6.707916599117548,61.12272432811149,440
1,FR,Other Pollutants,2.497555895607224,22.757799421855157,440
1,FR,Meteorological,0.9117617597699921,8.30799874623761,440
1,FR,Temporal,0.6022945007940308,5.488124396360873,440
1,FR,Metadata,0.2549765090854435,2.323353107434882,440
3,AT,PM2.5 History,4.985818999833364,48.78247804731291,818
3,AT,Other Pollutants,2.002107768921818,19.589114303797924,818
3,AT,Meteorological,1.5321165021844323,14.99060427910357,818
3,AT,Temporal,1.3299490258022066,13.012548020176766,818
3,AT,Metadata,0.3705196563363785,3.625255349608842,818
3,BE,PM2.5 History,5.180646269816558,48.597303385512646,637
3,BE,Meteorological,1.8757564567832878,17.595624341064973,637
3,BE,Other Pollutants,1.7779057319778395,16.67773087523082,637
3,BE,Temporal,1.4221054444789738,13.340129036445704,637
3,BE,Metadata,0.4039435836942662,3.7892123617458586,637
3,ES,PM2.5 History,4.8635607599092525,42.92838221028286,686
3,ES,Other Pollutants,2.536738191041776,22.39060474583128,686
3,ES,Meteorological,2.0193232603011686,17.82362450139114,686
3,ES,Temporal,1.351117967198055,11.925688064836832,686
3,ES,Metadata,0.5587358220319157,4.9317004776578965,686
3,FI,PM2.5 History,5.61337746564243,50.355963867301284,393
3,FI,Other Pollutants,2.3612466971349124,21.182051998190747,393
3,FI,Meteorological,1.213508625113338,10.886030175751275,393
3,FI,Temporal,1.0239186938258493,9.185274474223851,393
3,FI,Metadata,0.9353420632365123,8.390679484532832,393
3,FR,PM2.5 History,4.543978333171736,44.76600915745799,466
3,FR,Other Pollutants,1.9763197541412874,19.47015186364232,466
3,FR,Meteorological,1.6339307171737554,16.09703041796784,466
3,FR,Temporal,1.5481685687069773,15.252125613822958,466
3,FR,Metadata,0.4481128435846616,4.414682947108882,466
6,AT,PM2.5 History,4.750169178814281,40.14791726363672,831
