Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.284003734588623,2.32245411280376,0.9046066999435425,-0.04519474878907204,375906.0
Global,All,3,2.3159732818603516,3.6525863158923357,0.7635229825973511,-0.15715232491493225,374872.0
Global,All,6,3.0664069652557373,4.6255820655556885,0.6206660270690918,-0.2638058364391327,373321.0
Global,All,12,4.8812360763549805,7.350557070011901,0.04293006658554077,1.3489389419555664,370219.0
Global,All,24,4.213723659515381,6.091081396846361,0.342218816280365,0.03957743942737579,364015.0
Country,AT,1,0.9507172703742981,1.6461436144170072,0.9517508149147034,-0.01714349165558815,159831.0
Country,BE,1,1.3210631608963013,2.7163994811804506,0.8898078203201294,-0.031725604087114334,82411.0
Country,ES,1,2.4549849033355713,3.5901748786772023,0.7532237768173218,0.06824638694524765,50638.0
Country,FI,1,0.8080191612243652,1.452503768863483,0.875864565372467,-0.02221248857676983,44255.0
Country,FR,1,1.5930999517440796,2.4895411106077865,0.8977435231208801,-0.36386021971702576,38771.0
Country,AT,3,1.9400787353515625,3.0525047523405306,0.834093451499939,-0.1055990606546402,159755.0
Country,BE,3,2.583287239074707,4.160455168251576,0.7390990853309631,-0.13082320988178253,82099.0
Country,ES,3,3.4430272579193115,4.953310027412087,0.5301142930984497,0.08685458451509476,50348.0
Country,FI,3,1.5960698127746582,2.3998143720365444,0.660771906375885,-0.12231606245040894,44113.0
Country,FR,3,2.6561686992645264,3.9523869605792936,0.7428766489028931,-0.7852994799613953,38557.0
Country,AT,6,2.706099271774292,4.061573803298859,0.7062809467315674,-0.21578750014305115,159641.0
Country,BE,6,3.5299947261810303,5.397732060626521,0.5594947338104248,-0.2519634962081909,81631.0
Country,ES,6,3.967247724533081,5.628983676438781,0.39398884773254395,0.04168665409088135,49913.0
Country,FI,6,2.1919870376586914,3.1247967463197583,0.42523014545440674,-0.25416088104248047,43900.0
Country,FR,6,3.4090147018432617,5.025170865166785,0.5857236385345459,-0.8994333744049072,38236.0
Country,AT,12,3.4131221771240234,4.994012108179706,0.5560265779495239,-0.23901750147342682,159413.0
Country,BE,12,4.348274230957031,6.597021367099606,0.34161561727523804,-0.3100516200065613,80695.0
Country,ES,12,4.32663631439209,6.080229956143112,0.2949194312095642,0.07720746099948883,49043.0
Country,FI,12,2.7676713466644287,3.7949247649805646,0.1536526083946228,-0.2355736494064331,43474.0
Country,FR,12,15.418245315551758,16.371632935972954,-3.377303123474121,15.134855270385742,37594.0
Country,AT,24,4.013063907623291,5.779247370098889,0.40520232915878296,-0.17098845541477203,158957.0
Country,BE,24,4.788849830627441,7.110181423185028,0.23214459419250488,-0.2370052933692932,78823.0
Country,ES,24,4.505083084106445,6.344850341378604,0.23615872859954834,0.037685494869947433,47303.0
Country,FI,24,3.041713237762451,4.144021077444903,-0.009146690368652344,-0.3344115614891052,42622.0
Country,FR,24,4.839853763580322,6.586516982680206,0.29068702459335327,2.0032694339752197,36310.0
StationArea,rural,1,0.5760411620140076,1.0298785135232613,0.8945693969726562,-0.07576852291822433,11062.0
StationArea,rural-nearcity,1,0.8439841866493225,1.4131643488389907,0.9600846767425537,-0.004819418303668499,16840.0
StationArea,suburban,1,1.1383163928985596,2.256522367738897,0.9101771116256714,-0.048059139400720596,105923.0
StationArea,urban,1,1.4107095003128052,2.441349022766789,0.8963947892189026,-0.0453529991209507,242081.0
StationArea,rural,3,1.2702088356018066,1.8829120910390842,0.6472662091255188,-0.2542397975921631,11026.0
StationArea,rural-nearcity,3,1.7633066177368164,2.767642906792978,0.8468526601791382,-0.07350204885005951,16832.0
StationArea,suburban,3,2.1879196166992188,3.5032513366840403,0.781501054763794,-0.18222974240779877,105703.0
StationArea,urban,3,2.45839786529541,3.8279737792995503,0.7454346418380737,-0.14756615459918976,241311.0
StationArea,rural,6,1.779302954673767,2.5219515272438966,0.36844754219055176,-0.44815027713775635,10972.0
StationArea,rural-nearcity,6,2.4793758392333984,3.7361214994895113,0.7207717895507812,-0.17111745476722717,16820.0
StationArea,suburban,6,2.965487480163574,4.5064454013822965,0.6369802951812744,-0.3341761827468872,105373.0
StationArea,urban,6,3.210604667663574,4.804290903982386,0.5995810031890869,-0.23099906742572784,240156.0
StationArea,rural,12,2.2747414112091064,3.0982225244443176,0.05194258689880371,-0.5628659129142761,10864.0
StationArea,rural-nearcity,12,3.129389524459839,4.638600533990875,0.5694873332977295,-0.1939961016178131,16796.0
StationArea,suburban,12,3.6591224670410156,5.467655268497808,0.4644612669944763,-0.42014992237091064,104713.0
StationArea,urban,12,5.662045001983643,8.30553953693026,-0.19401323795318604,2.3240723609924316,237846.0
StationArea,rural,24,2.5783329010009766,3.4779158454791372,-0.18509387969970703,-0.6128885746002197,10648.0
StationArea,rural-nearcity,24,3.7134170532226562,5.379775476414954,0.4200975298881531,-0.10695003718137741,16748.0
StationArea,suburban,24,4.137808799743652,6.063772795474507,0.338100790977478,-0.35737621784210205,103393.0
StationArea,urban,24,4.357970714569092,6.243075082097995,0.3260365128517151,0.25586435198783875,233226.0
