Scope,Group,horizon,MAE,RMSE,R2,Bias,Count
Global,All,1,1.2876780629509723,2.307164241038798,0.9058586027658349,-0.029899136695524534,375906.0
Global,All,3,2.3357861670196893,3.690089598955183,0.7586419872820659,-0.11007387282572292,374872.0
Global,All,6,3.0843303169755303,4.6603734011830324,0.6149381739610316,-0.21760018137112414,373321.0
Global,All,12,3.6941157389449533,5.472102678944654,0.4695900561172086,-0.3687702728808902,370219.0
Global,All,24,4.155592241997173,6.092551445659858,0.34190134731563127,-0.580034366875372,364015.0
Country,AT,1,0.9518515838203172,1.6543991024981013,0.9512656840279956,-0.05104057324754775,159831.0
Country,BE,1,1.3339745642649958,2.6105104432687183,0.8982312454984319,-0.051652992124044776,82411.0
Country,ES,1,2.48234251073297,3.6287378096775593,0.7478938762048248,0.0377389638062707,50638.0
Country,FI,1,0.786361268208831,1.4555988577556735,0.8753349783737101,-0.04902952633370172,44255.0
Country,FR,1,1.5855939655758815,2.4948496812443866,0.8973069636832138,0.03699032154630131,38771.0
Country,AT,3,1.9579062039456934,3.0901612521169795,0.8299749107605371,-0.16902632472629464,159755.0
Country,BE,3,2.642267747805007,4.238161239743249,0.7292622053827335,-0.1580618896684083,82099.0
Country,ES,3,3.4880559750597855,4.99792459395198,0.5216115865833915,0.05044711878398384,50348.0
Country,FI,3,1.5481479835966763,2.384306194065724,0.6651420771029033,-0.16941884794318865,44113.0
Country,FR,3,2.645379369035645,3.9313872244135766,0.745601658478054,0.09465396258508957,38557.0
Country,AT,6,2.7238139703438358,4.10595046825279,0.6998275294111509,-0.2944634241458809,159641.0
Country,BE,6,3.5886607523812963,5.47535527229215,0.5467340571849811,-0.2962115023328059,81631.0
Country,ES,6,4.013045569958,5.674957237410333,0.3840494708522716,-0.01316005612414336,49913.0
Country,FI,6,2.124731414093681,3.0777153056495674,0.44241987102298075,-0.32851405084605995,43900.0
Country,FR,6,3.4022406563003016,4.974777073589829,0.5939909205316242,0.13161376830261573,38236.0
Country,AT,12,3.4175087695803903,5.024718278215041,0.5505501909359836,-0.43695034753124506,159413.0
Country,BE,12,4.320682502186319,6.5181426965494955,0.35726564440105857,-0.5235316530124399,80695.0
Country,ES,12,4.3159271568522275,6.077888238800821,0.2954624332552017,-0.14268509365860563,49043.0
Country,FI,12,2.598517131787117,3.6457273031428032,0.21889279569318454,-0.5216039192532353,43474.0
Country,FR,12,3.977897680922511,5.75021185619045,0.4600041807184443,0.13433273046393196,37594.0
Country,AT,24,4.039263248283473,5.821385836273696,0.3964970164845101,-0.6724488796410704,158957.0
Country,BE,24,4.785308385681078,7.210666066738288,0.21028778901549972,-0.7728439098515044,78823.0
Country,ES,24,4.456742930480092,6.301908452298635,0.24646309167846558,-0.33574227216903857,47303.0
Country,FI,24,2.963323259823997,4.076486383578,0.023477250487885626,-0.7670750241240626,42622.0
Country,FR,24,4.305048309224643,6.297378929571303,0.3515955875801473,0.14439576942495497,36310.0
StationArea,rural,1,0.5312095373579618,0.9761639338931474,0.9052803367967301,-0.07260136792530128,11062.0
StationArea,rural-nearcity,1,0.8422870482392439,1.4263791153719776,0.9593346823370864,-0.025704154620536514,16840.0
StationArea,suburban,1,1.1398511341389261,2.192408863057861,0.9152088123234753,-0.06855324457256433,105923.0
StationArea,urban,1,1.4179101393981688,2.4448695375170315,0.8960957752929484,-0.011326478567126692,242081.0
StationArea,rural,3,1.1630411508503613,1.787679953785754,0.682044366593821,-0.21893208501904612,11026.0
StationArea,rural-nearcity,3,1.764398724082458,2.8030354003844415,0.8429107219898198,-0.10824510685589382,16832.0
StationArea,suburban,3,2.2063686923299644,3.5453599797590707,0.7762168003125216,-0.20679362211218896,105703.0
StationArea,urban,3,2.4859164773450813,3.8669597071551043,0.7402229363997304,-0.06286070592629966,241311.0
StationArea,rural,6,1.6310511709196596,2.353876327464035,0.4498219960694805,-0.3823533491158758,10972.0
StationArea,rural-nearcity,6,2.485436958963424,3.7780790804595226,0.7144650095117135,-0.20804405292414213,16820.0
StationArea,suburban,6,2.9827965955976046,4.546321534117625,0.6305274580448916,-0.36076004546737633,105373.0
StationArea,urban,6,3.237221262423678,4.841527710032479,0.5933499280924869,-0.14792829295096577,240156.0
StationArea,rural,12,2.047337514941975,2.85264374227996,0.1962805915091541,-0.5746777664106786,10864.0
StationArea,rural-nearcity,12,3.1548432074036614,4.689024356676053,0.5600767107235883,-0.3063118283614334,16796.0
StationArea,suburban,12,3.639807698040994,5.432711783935765,0.471284633851236,-0.5522451921041098,104713.0
StationArea,urban,12,3.83132627833814,5.629472135357756,0.45145941595325123,-0.28299991646463846,237846.0
StationArea,rural,24,2.4471619209862925,3.3536516621679984,-0.10192111932592551,-0.8725102105347154,10648.0
StationArea,rural-nearcity,24,3.744602505302531,5.43196398406627,0.408791831993063,-0.5138882339704559,16748.0
StationArea,suburban,24,4.158901917853313,6.129668577420628,0.323636738345507,-0.8204277690378458,103393.0
StationArea,urban,24,4.261637129155944,6.2165875677360285,0.3317432017556081,-0.4648608339966282,233226.0
