epoch,loss,mae,r2,val_loss,val_mae,val_r2,learning_rate
1,0.10360809415578842,0.3061276078224182,0.7474532127380371,0.0867118164896965,0.2841889262199402,0.744617760181427,0.0005000000237487257
2,0.09659656137228012,0.2953232526779175,0.7646774649620056,0.08344095200300217,0.27202531695365906,0.7513386011123657,0.0005000000237487257
3,0.09371978044509888,0.2920643091201782,0.7709583044052124,0.08077369630336761,0.2709173858165741,0.7578274011611938,0.0005000000237487257
4,0.09134881943464279,0.288953959941864,0.7771052122116089,0.08012602478265762,0.26741111278533936,0.7598558068275452,0.0005000000237487257
5,0.08960311114788055,0.28647997975349426,0.7820543050765991,0.07946741580963135,0.26753878593444824,0.7617171406745911,0.0005000000237487257
6,0.08783925324678421,0.2837643623352051,0.7867909669876099,0.07959913462400436,0.2661040723323822,0.7612783908843994,0.0005000000237487257
7,0.08612090349197388,0.28128916025161743,0.7916567921638489,0.07809101045131683,0.2629972994327545,0.7661520838737488,0.0005000000237487257
8,0.08453107625246048,0.278719425201416,0.7956768274307251,0.07610180974006653,0.2640083134174347,0.7742103338241577,0.0005000000237487257
9,0.08287685364484787,0.2762216031551361,0.8003301620483398,0.07455433160066605,0.2589446008205414,0.7785153985023499,0.0005000000237487257
10,0.0812719389796257,0.2737674415111542,0.8047406077384949,0.074601911008358,0.2599833011627197,0.7793346047401428,0.0005000000237487257
11,0.07952099293470383,0.27119705080986023,0.809409499168396,0.07307056337594986,0.2562921941280365,0.7843540906906128,0.0005000000237487257
12,0.07813525199890137,0.268936425447464,0.8135055899620056,0.07183048129081726,0.25448960065841675,0.7871586680412292,0.0005000000237487257
13,0.07667490094900131,0.2665161192417145,0.8171848058700562,0.07191462814807892,0.2572442293167114,0.7890399694442749,0.0005000000237487257
14,0.07527013123035431,0.26431334018707275,0.8209568858146667,0.06979182362556458,0.2507621943950653,0.7959749698638916,0.0005000000237487257
15,0.07410553097724915,0.2624194622039795,0.8237016797065735,0.07029689103364944,0.2539149522781372,0.7943978309631348,0.0005000000237487257
16,0.07288248091936111,0.26042070984840393,0.8273353576660156,0.06944338977336884,0.25621330738067627,0.7984219193458557,0.0005000000237487257
17,0.07015862315893173,0.2560737133026123,0.8340538740158081,0.06494678556919098,0.24359923601150513,0.8119441270828247,0.0002500000118743628
18,0.06840835511684418,0.25293686985969543,0.8384449481964111,0.0637754574418068,0.2442828267812729,0.8160824775695801,0.0002500000118743628
19,0.06739974021911621,0.25110235810279846,0.841435968875885,0.06335203349590302,0.24056369066238403,0.8163566589355469,0.0002500000118743628
20,0.066524937748909,0.24950161576271057,0.8434892296791077,0.06405304372310638,0.24324250221252441,0.8154959678649902,0.0002500000118743628
21,0.06587958335876465,0.2483997792005539,0.8452998399734497,0.06206758692860603,0.24134424328804016,0.821190357208252,0.0002500000118743628
22,0.0645851343870163,0.24650035798549652,0.8487268686294556,0.05933306738734245,0.23401151597499847,0.8293861746788025,0.0001250000059371814
