Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.3904505968093872,2.37082505942601,0.8941552042961121,-0.0085948891937732,152391.0,-0.10629122027119675,-0.2729951301512177
Global,All,3,2.2450857162475586,3.5200185491333245,0.7670426964759827,0.1157662719488143,151011.0,-0.39048816104629225,-0.7739367481505623
Global,All,6,3.068223714828491,4.574983215301241,0.6068568229675293,0.3730321228504181,150539.0,-0.4953405230593879,-1.0027083184011376
Global,All,12,3.715836763381958,5.371405353177104,0.4593620300292969,0.4486458599567413,150053.0,-0.6667850608429875,-1.298634551295554
Global,All,24,4.052894115447998,5.802721227055114,0.3699020147323608,0.2764357924461365,148480.0,-0.6872644907080225,-1.4408908428569553
Country,AT,1,0.923789083957672,1.59202654533204,0.9626051783561708,-0.0423835925757885,44030.0,-0.021570227940249542,-0.10600163875442314
Country,BE,1,1.2052899599075315,2.283516580881052,0.8967258930206299,0.0373008884489536,29717.0,-0.0958531872401871,-0.3386961209228563
Country,ES,1,2.351856231689453,3.473770906729309,0.7737864255905151,-0.0090614780783653,35823.0,-0.1214973394379606,-0.23252665964397679
Country,FI,1,0.7455121278762817,1.2359175881808544,0.9009181261062622,0.0219169054180383,19993.0,-0.07514790428809626,-0.3061377816838131
Country,FR,1,1.5877236127853394,2.36042832868029,0.8625168800354004,-0.0291606821119785,22828.0,-0.2472231127863862,-0.4892585120252102
Country,AT,3,1.8292269706726076,2.947480797417934,0.8718330264091492,-0.0340178832411766,44020.0,-0.18005074758331152,-0.34183500482809404
Country,BE,3,2.309355497360229,3.644559772212213,0.7368330359458923,0.1844204813241958,29591.0,-0.36575590142177505,-0.881805511270493
Country,ES,3,3.173003673553467,4.65849833642648,0.5926029682159424,0.2408872991800308,35201.0,-0.614044484762708,-0.9824165779019749
Country,FI,3,1.2788379192352295,1.9816901599506327,0.7462304830551147,0.1097627803683281,19769.0,-0.19125915880647737,-0.5335409645274938
Country,FR,3,2.3718087673187256,3.36560885426395,0.7220110893249512,0.1280822902917862,22430.0,-0.5939059579221904,-1.0455242554199637
