Scope,Group,horizon,MAE,RMSE,R2,Bias,Count,MAE_skill,RMSE_skill
Global,All,1,1.4497164487838743,2.4176140495783245,0.8899362087249756,-0.0092595722526311,152391.0,-0.04702536829670967,-0.22620613999890304
Global,All,3,2.409883737564087,3.710085351378612,0.7412059903144836,-0.014792077243328,151011.0,-0.22569013972976393,-0.583869945905275
Global,All,6,3.096304178237915,4.57776231598532,0.6063790321350098,-0.0175661034882068,150539.0,-0.4672600596499641,-0.9999292177170593
Global,All,12,3.630784511566162,5.248054870667523,0.4839076399803161,-0.0740683302283287,150053.0,-0.7518373126587834,-1.421985033805135
Global,All,24,4.018759250640869,5.75705717145406,0.3797800540924072,-0.1030260398983955,148480.0,-0.7213993555151514,-1.4865548984580093
Country,AT,1,0.9753255248069764,1.6168738904196431,0.9614288210868835,-0.002609968651086,44030.0,0.02996621290905488,-0.08115429366681992
Country,BE,1,1.3030962944030762,2.4111578296153047,0.8848578333854675,0.0342422164976596,29717.0,0.001953147255357557,-0.21105487218860342
Country,ES,1,2.35299015045166,3.459201627141268,0.7756799459457397,-0.0178437754511833,35823.0,-0.12036342067575356,-0.24709593923201778
Country,FI,1,0.8363796472549438,1.3160943813655337,0.8876458406448364,-0.1182088926434516,19993.0,0.015719615090565853,-0.22596098849913382
Country,FR,1,1.6752727031707764,2.472389917960576,0.849165141582489,0.0301749389618635,22828.0,-0.1596740224009492,-0.3772969227449239
Country,AT,3,1.9194669723510744,2.9829366523239047,0.8687310218811035,-0.0433662310242652,44020.0,-0.08981074590484472,-0.30637914992212334
Country,BE,3,2.474508285522461,3.852241502687979,0.7059858441352844,0.1207651868462562,29591.0,-0.20060311325954316,-0.6741237807947269
Country,ES,3,3.361866235733032,4.942402011824248,0.5414337515830994,-0.0625590682029724,35201.0,-0.425181922583143,-0.6985129025042074
Country,FI,3,1.5309271812438965,2.246108716831928,0.6739910840988159,-0.2774005234241485,19769.0,0.06083010320218962,-0.26912240764619844
Country,FR,3,2.567762613296509,3.584626267663172,0.6846535205841064,0.1688687354326248,22430.0,-0.39795211194440716,-0.8265068420207418
Country,AT,6,2.637783527374268,3.9744640876778248,0.7670063972473145,-0.1180136501789093,44000.0,-0.345467730825757,-0.6338661920298363
Country,BE,6,3.305567741394043,4.822095148743454,0.5387519598007202,0.2261842936277389,29548.0,-0.5487059989887308,-1.2924077251417625
Country,ES,6,3.9700443744659424,5.764583834790685,0.3796531558036804,-0.1280740946531295,34971.0,-0.7022030695763917,-1.1358899170186811
Country,FI,6,2.0784554481506348,2.93460394765458,0.4453794360160827,-0.3788033425807953,19685.0,0.07952707573337081,-0.33768935871985395
Country,FR,6,3.251770257949829,4.443244117667245,0.5123132467269897,0.3492520749568939,22335.0,-0.6306752185584603,-1.2939294420273786
Country,AT,12,3.3105196952819824,4.915510052345232,0.6437724828720093,-0.1831539422273636,43950.0,-0.7033067328337124,-1.0303920718904536
Country,BE,12,3.883921384811402,5.546676589211123,0.3911925554275512,0.2511374354362488,29471.0,-1.0571242579258269,-2.1001662362337665
Country,ES,12,4.347232818603516,6.252785329062393,0.2725840210914612,-0.2608766257762909,34813.0,-0.8918534721444917,-1.3865631214874217
Country,FI,12,2.5979037284851074,3.561680615876342,0.1811383962631225,-0.5227147340774536,19596.0,0.08717177927704745,-0.3812776623800511
Country,FR,12,3.716914176940918,4.9950086475560935,0.3869843482971191,0.3986495733261108,22223.0,-0.8809712572824475,-1.7688377599965133
